# n_samples,memory,time
2.000000000000000000e+00,3.245431300000000000e+07,1.562662792205810547e+01
3.000000000000000000e+00,3.433236400000000000e+07,3.730084896087646484e-01
4.000000000000000000e+00,3.544732200000000000e+07,3.582854270935058594e-01
5.000000000000000000e+00,3.651908600000000000e+07,3.598203659057617188e-01
6.000000000000000000e+00,3.764881600000000000e+07,3.634090423583984375e-01
7.000000000000000000e+00,3.876559300000000000e+07,3.552165031433105469e-01
8.000000000000000000e+00,3.970854300000000000e+07,3.548679351806640625e-01
9.000000000000000000e+00,4.082402900000000000e+07,3.617849349975585938e-01
1.000000000000000000e+01,4.192739000000000000e+07,3.573236465454101562e-01
1.100000000000000000e+01,4.283852300000000000e+07,3.624663352966308594e-01
1.200000000000000000e+01,4.394765800000000000e+07,3.638765811920166016e-01
1.300000000000000000e+01,4.505713000000000000e+07,3.628664016723632812e-01
1.400000000000000000e+01,4.593117300000000000e+07,3.662252426147460938e-01
1.500000000000000000e+01,4.703588800000000000e+07,3.640680313110351562e-01
1.600000000000000000e+01,4.814525800000000000e+07,3.628382682800292969e-01
1.700000000000000000e+01,4.899056700000000000e+07,3.720142841339111328e-01
1.800000000000000000e+01,5.010221000000000000e+07,3.625073432922363281e-01
1.900000000000000000e+01,5.121381600000000000e+07,3.629152774810791016e-01
2.000000000000000000e+01,5.203440500000000000e+07,3.682980537414550781e-01
2.100000000000000000e+01,5.314818600000000000e+07,3.704874515533447266e-01
2.200000000000000000e+01,5.426285500000000000e+07,3.706238269805908203e-01
2.300000000000000000e+01,5.505619300000000000e+07,3.727028369903564453e-01
2.400000000000000000e+01,5.617353800000000000e+07,3.702249526977539062e-01
2.500000000000000000e+01,5.729169400000000000e+07,3.711607456207275391e-01
2.600000000000000000e+01,5.806318300000000000e+07,3.753397464752197266e-01
2.700000000000000000e+01,5.918457500000000000e+07,3.758006095886230469e-01
2.800000000000000000e+01,6.030783500000000000e+07,3.717303276062011719e-01
2.900000000000000000e+01,6.104910700000000000e+07,3.749971389770507812e-01
3.000000000000000000e+01,6.217480500000000000e+07,3.809733390808105469e-01
3.100000000000000000e+01,6.330183900000000000e+07,3.758187294006347656e-01
3.200000000000000000e+01,6.401564000000000000e+07,3.745093345642089844e-01
