# n_samples,memory,time
2.000000000000000000e+00,1.064654070000000000e+08,2.640200996398925781e+01
3.000000000000000000e+00,1.104693350000000000e+08,4.538388252258300781e-01
4.000000000000000000e+00,1.144125690000000000e+08,4.471659660339355469e-01
5.000000000000000000e+00,1.182821520000000000e+08,4.557688236236572266e-01
6.000000000000000000e+00,1.221327680000000000e+08,4.673221111297607422e-01
7.000000000000000000e+00,1.259647910000000000e+08,4.554278850555419922e-01
8.000000000000000000e+00,1.297979090000000000e+08,4.654316902160644531e-01
9.000000000000000000e+00,1.336202080000000000e+08,4.569129943847656250e-01
1.000000000000000000e+01,1.374353180000000000e+08,4.646220207214355469e-01
1.100000000000000000e+01,1.412516490000000000e+08,4.622409343719482422e-01
1.200000000000000000e+01,1.450580190000000000e+08,4.619791507720947266e-01
1.300000000000000000e+01,1.488679410000000000e+08,5.616009235382080078e-01
1.400000000000000000e+01,1.526683820000000000e+08,4.668030738830566406e-01
1.500000000000000000e+01,1.564650890000000000e+08,4.744551181793212891e-01
1.600000000000000000e+01,1.602630550000000000e+08,4.666590690612792969e-01
1.700000000000000000e+01,1.640494720000000000e+08,4.680662155151367188e-01
1.800000000000000000e+01,1.678359790000000000e+08,4.812340736389160156e-01
1.900000000000000000e+01,1.716182380000000000e+08,4.757833480834960938e-01
2.000000000000000000e+01,1.753917720000000000e+08,4.796800613403320312e-01
2.100000000000000000e+01,1.791607200000000000e+08,4.844989776611328125e-01
2.200000000000000000e+01,1.829289090000000000e+08,4.820051193237304688e-01
2.300000000000000000e+01,1.866956110000000000e+08,5.006761550903320312e-01
2.400000000000000000e+01,1.904547910000000000e+08,5.090947151184082031e-01
2.500000000000000000e+01,1.942125700000000000e+08,4.922978878021240234e-01
2.600000000000000000e+01,1.979634850000000000e+08,5.137379169464111328e-01
2.700000000000000000e+01,2.017083330000000000e+08,5.653948783874511719e-01
2.800000000000000000e+01,2.054544760000000000e+08,5.078699588775634766e-01
2.900000000000000000e+01,2.091939570000000000e+08,5.153112411499023438e-01
3.000000000000000000e+01,2.129267370000000000e+08,4.991447925567626953e-01
3.100000000000000000e+01,2.166550680000000000e+08,5.313999652862548828e-01
3.200000000000000000e+01,2.203823450000000000e+08,5.151069164276123047e-01
3.300000000000000000e+01,2.241094330000000000e+08,5.095422267913818359e-01
