# n_samples,memory,time
2.000000000000000000e+00,6.360265700000000000e+07,2.177286672592163086e+01
3.000000000000000000e+00,7.671788200000000000e+07,5.851552486419677734e-01
4.000000000000000000e+00,8.349320600000000000e+07,5.870656967163085938e-01
5.000000000000000000e+00,9.016212300000000000e+07,5.722949504852294922e-01
6.000000000000000000e+00,9.681402100000000000e+07,5.771338939666748047e-01
7.000000000000000000e+00,1.034499770000000000e+08,5.793886184692382812e-01
8.000000000000000000e+00,1.100800680000000000e+08,5.855848789215087891e-01
9.000000000000000000e+00,1.167052490000000000e+08,5.761187076568603516e-01
1.000000000000000000e+01,1.233261610000000000e+08,5.794348716735839844e-01
1.100000000000000000e+01,1.299527010000000000e+08,5.924823284149169922e-01
1.200000000000000000e+01,1.365745690000000000e+08,5.873739719390869141e-01
1.300000000000000000e+01,1.431876130000000000e+08,5.812733173370361328e-01
1.400000000000000000e+01,1.497936120000000000e+08,5.980908870697021484e-01
1.500000000000000000e+01,1.563937090000000000e+08,5.932793617248535156e-01
1.600000000000000000e+01,1.629914520000000000e+08,5.959076881408691406e-01
1.700000000000000000e+01,1.695831840000000000e+08,5.938892364501953125e-01
1.800000000000000000e+01,1.761709400000000000e+08,5.908069610595703125e-01
1.900000000000000000e+01,1.827552360000000000e+08,6.053535938262939453e-01
2.000000000000000000e+01,1.893344310000000000e+08,6.014697551727294922e-01
2.100000000000000000e+01,1.959107440000000000e+08,6.080431938171386719e-01
2.200000000000000000e+01,2.024811760000000000e+08,6.045808792114257812e-01
2.300000000000000000e+01,2.090477250000000000e+08,5.994479656219482422e-01
2.400000000000000000e+01,2.156100290000000000e+08,6.152684688568115234e-01
2.500000000000000000e+01,2.221680200000000000e+08,6.077179908752441406e-01
2.600000000000000000e+01,2.287217960000000000e+08,6.159191131591796875e-01
2.700000000000000000e+01,2.352748560000000000e+08,6.103041172027587891e-01
2.800000000000000000e+01,2.418212210000000000e+08,6.164941787719726562e-01
2.900000000000000000e+01,2.483624730000000000e+08,6.109848022460937500e-01
3.000000000000000000e+01,2.548996410000000000e+08,6.209700107574462891e-01
3.100000000000000000e+01,2.614325450000000000e+08,6.147780418395996094e-01
3.200000000000000000e+01,2.679619800000000000e+08,6.283009052276611328e-01
3.300000000000000000e+01,2.744865220000000000e+08,6.240413188934326172e-01
3.400000000000000000e+01,2.810074710000000000e+08,6.273424625396728516e-01
3.500000000000000000e+01,2.875234150000000000e+08,6.338443756103515625e-01
3.600000000000000000e+01,2.940362270000000000e+08,6.262576580047607422e-01
3.700000000000000000e+01,3.005438970000000000e+08,6.199455261230468750e-01
3.800000000000000000e+01,3.070485890000000000e+08,6.250615119934082031e-01
3.900000000000000000e+01,3.135481580000000000e+08,6.362259387969970703e-01
4.000000000000000000e+01,3.200432080000000000e+08,6.265709400177001953e-01
4.100000000000000000e+01,3.265424120000000000e+08,6.301288604736328125e-01
4.200000000000000000e+01,3.330294180000000000e+08,6.366136074066162109e-01
4.300000000000000000e+01,3.395118180000000000e+08,6.349711418151855469e-01
4.400000000000000000e+01,3.459907440000000000e+08,6.344528198242187500e-01
4.500000000000000000e+01,3.524647560000000000e+08,6.394627094268798828e-01
4.600000000000000000e+01,3.589345800000000000e+08,6.418838500976562500e-01
4.700000000000000000e+01,3.654006680000000000e+08,6.427314281463623047e-01
4.800000000000000000e+01,3.718624840000000000e+08,6.436886787414550781e-01
4.900000000000000000e+01,3.783201280000000000e+08,6.452643871307373047e-01
5.000000000000000000e+01,3.847731920000000000e+08,6.390037536621093750e-01
5.100000000000000000e+01,3.912221460000000000e+08,6.531145572662353516e-01
5.200000000000000000e+01,3.976668180000000000e+08,6.470313072204589844e-01
5.300000000000000000e+01,4.041093820000000000e+08,6.516530513763427734e-01
5.400000000000000000e+01,4.105456660000000000e+08,6.547601222991943359e-01
5.500000000000000000e+01,4.169780820000000000e+08,6.549925804138183594e-01
5.600000000000000000e+01,4.234063350000000000e+08,6.497573852539062500e-01
5.700000000000000000e+01,4.298301260000000000e+08,6.584701538085937500e-01
5.800000000000000000e+01,4.362511270000000000e+08,6.590323448181152344e-01
5.900000000000000000e+01,4.426673970000000000e+08,6.617054939270019531e-01
6.000000000000000000e+01,4.490791130000000000e+08,6.558325290679931641e-01
6.100000000000000000e+01,4.554868320000000000e+08,6.556696891784667969e-01
6.200000000000000000e+01,4.618903400000000000e+08,6.587281227111816406e-01
6.300000000000000000e+01,4.682896130000000000e+08,6.638722419738769531e-01
6.400000000000000000e+01,4.746843910000000000e+08,6.479520797729492188e-01
6.500000000000000000e+01,4.810748590000000000e+08,6.566059589385986328e-01
6.600000000000000000e+01,4.874611350000000000e+08,6.635744571685791016e-01
6.700000000000000000e+01,4.938444040000000000e+08,6.524002552032470703e-01
6.800000000000000000e+01,5.002238980000000000e+08,6.629085540771484375e-01
6.900000000000000000e+01,5.065975900000000000e+08,6.556866168975830078e-01
7.000000000000000000e+01,5.129685420000000000e+08,6.661889553070068359e-01
7.100000000000000000e+01,5.193338540000000000e+08,6.630454063415527344e-01
7.200000000000000000e+01,5.256961810000000000e+08,6.653828620910644531e-01
7.300000000000000000e+01,5.320535730000000000e+08,6.736662387847900391e-01
7.400000000000000000e+01,5.384065230000000000e+08,6.730673313140869141e-01
7.500000000000000000e+01,5.447554510000000000e+08,6.730594635009765625e-01
7.600000000000000000e+01,5.510999270000000000e+08,6.740322113037109375e-01
7.700000000000000000e+01,5.574474710000000000e+08,6.799914836883544922e-01
7.800000000000000000e+01,5.637834390000000000e+08,6.809885501861572266e-01
7.900000000000000000e+01,5.701151470000000000e+08,6.834867000579833984e-01
8.000000000000000000e+01,5.764408590000000000e+08,6.834564208984375000e-01
