# n_samples,memory,time
2.000000000000000000e+00,6.951266100000000000e+07,6.246736748345256356e-01
3.000000000000000000e+00,8.241426700000000000e+07,6.963739395141601562e-01
4.000000000000000000e+00,8.887570500000000000e+07,6.860110759735107422e-01
5.000000000000000000e+00,9.523549100000000000e+07,6.759271621704101562e-01
6.000000000000000000e+00,1.015795970000000000e+08,6.860411167144775391e-01
7.000000000000000000e+00,1.079186510000000000e+08,6.860067844390869141e-01
8.000000000000000000e+00,1.142534130000000000e+08,6.905028820037841797e-01
9.000000000000000000e+00,1.205809160000000000e+08,6.970701217651367188e-01
1.000000000000000000e+01,1.269054020000000000e+08,6.947107315063476562e-01
1.100000000000000000e+01,1.332340240000000000e+08,6.958279609680175781e-01
1.200000000000000000e+01,1.395583710000000000e+08,7.114212512969970703e-01
1.300000000000000000e+01,1.458749840000000000e+08,7.022185325622558594e-01
1.400000000000000000e+01,1.521832190000000000e+08,7.023561000823974609e-01
1.500000000000000000e+01,1.584903720000000000e+08,7.011656761169433594e-01
1.600000000000000000e+01,1.647882520000000000e+08,6.975979804992675781e-01
1.700000000000000000e+01,1.710828920000000000e+08,7.080769538879394531e-01
1.800000000000000000e+01,1.773736550000000000e+08,7.209830284118652344e-01
1.900000000000000000e+01,1.836608090000000000e+08,7.044181823730468750e-01
2.000000000000000000e+01,1.899427720000000000e+08,7.228958606719970703e-01
2.100000000000000000e+01,1.962251790000000000e+08,7.172334194183349609e-01
2.200000000000000000e+01,2.024988000000000000e+08,7.116634845733642578e-01
2.300000000000000000e+01,2.087676470000000000e+08,7.105553150177001953e-01
2.400000000000000000e+01,2.150315370000000000e+08,7.208960056304931641e-01
2.500000000000000000e+01,2.212937490000000000e+08,7.176108360290527344e-01
2.600000000000000000e+01,2.275553800000000000e+08,7.218477725982666016e-01
2.700000000000000000e+01,2.338058260000000000e+08,7.204418182373046875e-01
2.800000000000000000e+01,2.400547250000000000e+08,7.166709899902343750e-01
2.900000000000000000e+01,2.462993250000000000e+08,7.202298641204833984e-01
3.000000000000000000e+01,2.525387650000000000e+08,7.397706508636474609e-01
3.100000000000000000e+01,2.587729170000000000e+08,7.229049205780029297e-01
3.200000000000000000e+01,2.650075580000000000e+08,7.350285053253173828e-01
3.300000000000000000e+01,2.712389170000000000e+08,7.374217510223388672e-01
3.400000000000000000e+01,2.774603740000000000e+08,7.383236885070800781e-01
3.500000000000000000e+01,2.836791340000000000e+08,7.381072044372558594e-01
3.600000000000000000e+01,2.898984810000000000e+08,7.328274250030517578e-01
3.700000000000000000e+01,2.961069180000000000e+08,7.370345592498779297e-01
3.800000000000000000e+01,3.023144650000000000e+08,7.425706386566162109e-01
3.900000000000000000e+01,3.085193400000000000e+08,7.367029190063476562e-01
4.000000000000000000e+01,3.147176010000000000e+08,7.567784786224365234e-01
4.100000000000000000e+01,3.209251290000000000e+08,7.427270412445068359e-01
4.200000000000000000e+01,3.271142460000000000e+08,7.566435337066650391e-01
4.300000000000000000e+01,3.333009340000000000e+08,7.421684265136718750e-01
4.400000000000000000e+01,3.394826120000000000e+08,7.543208599090576172e-01
4.500000000000000000e+01,3.456616720000000000e+08,7.504527568817138672e-01
4.600000000000000000e+01,3.518342590000000000e+08,7.578618526458740234e-01
4.700000000000000000e+01,3.580043050000000000e+08,7.459321022033691406e-01
4.800000000000000000e+01,3.641676380000000000e+08,7.590997219085693359e-01
4.900000000000000000e+01,3.703285620000000000e+08,7.661147117614746094e-01
5.000000000000000000e+01,3.764849880000000000e+08,7.676820755004882812e-01
5.100000000000000000e+01,3.826346270000000000e+08,7.675673961639404297e-01
