# n_samples,memory,time
2.000000000000000000e+00,6.515843200000000000e+07,3.082205128669738770e+01
3.000000000000000000e+00,7.366247200000000000e+07,6.614930629730224609e-01
4.000000000000000000e+00,7.796071400000000000e+07,6.533405780792236328e-01
5.000000000000000000e+00,8.225184500000000000e+07,6.574599742889404297e-01
6.000000000000000000e+00,8.643093000000000000e+07,6.574141979217529297e-01
7.000000000000000000e+00,9.060619600000000000e+07,6.639854907989501953e-01
8.000000000000000000e+00,9.477319200000000000e+07,6.695492267608642578e-01
9.000000000000000000e+00,9.893606400000000000e+07,6.637785434722900391e-01
1.000000000000000000e+01,1.030947760000000000e+08,6.705610752105712891e-01
1.100000000000000000e+01,1.072608180000000000e+08,6.722481250762939453e-01
1.200000000000000000e+01,1.114183350000000000e+08,6.725363731384277344e-01
1.300000000000000000e+01,1.155705970000000000e+08,6.827776432037353516e-01
1.400000000000000000e+01,1.197122320000000000e+08,6.634681224822998047e-01
1.500000000000000000e+01,1.238506810000000000e+08,6.643996238708496094e-01
1.600000000000000000e+01,1.279848940000000000e+08,6.706311702728271484e-01
1.700000000000000000e+01,1.321141180000000000e+08,6.844193935394287109e-01
1.800000000000000000e+01,1.362408630000000000e+08,6.772735118865966797e-01
1.900000000000000000e+01,1.403612350000000000e+08,6.837401390075683594e-01
2.000000000000000000e+01,1.444832660000000000e+08,6.936612129211425781e-01
2.100000000000000000e+01,1.485947810000000000e+08,6.791095733642578125e-01
2.200000000000000000e+01,1.527045500000000000e+08,6.864027976989746094e-01
2.300000000000000000e+01,1.568081750000000000e+08,6.898696422576904297e-01
2.400000000000000000e+01,1.609097510000000000e+08,6.814320087432861328e-01
2.500000000000000000e+01,1.650045200000000000e+08,6.842718124389648438e-01
2.600000000000000000e+01,1.690970450000000000e+08,6.895487308502197266e-01
2.700000000000000000e+01,1.731868330000000000e+08,6.907675266265869141e-01
2.800000000000000000e+01,1.772698470000000000e+08,6.990556716918945312e-01
2.900000000000000000e+01,1.813501070000000000e+08,6.896955966949462891e-01
3.000000000000000000e+01,1.854296260000000000e+08,6.903486251831054688e-01
3.100000000000000000e+01,1.894996830000000000e+08,7.088201045989990234e-01
3.200000000000000000e+01,1.935660330000000000e+08,7.050232887268066406e-01
3.300000000000000000e+01,1.976297590000000000e+08,6.974318027496337891e-01
3.400000000000000000e+01,2.016899670000000000e+08,7.020988464355468750e-01
3.500000000000000000e+01,2.057430460000000000e+08,7.078170776367187500e-01
3.600000000000000000e+01,2.097936440000000000e+08,7.006311416625976562e-01
3.700000000000000000e+01,2.138394150000000000e+08,6.982419490814208984e-01
3.800000000000000000e+01,2.178818090000000000e+08,7.020893096923828125e-01
3.900000000000000000e+01,2.219195890000000000e+08,7.023863792419433594e-01
4.000000000000000000e+01,2.259518940000000000e+08,7.150585651397705078e-01
4.100000000000000000e+01,2.299814250000000000e+08,7.147834300994873047e-01
