# n_samples,memory,time
2.000000000000000000e+00,5.941848300000000000e+07,2.141484713554382324e+01
3.000000000000000000e+00,6.812120200000000000e+07,5.891053676605224609e-01
4.000000000000000000e+00,7.268696200000000000e+07,5.923359394073486328e-01
5.000000000000000000e+00,7.720291200000000000e+07,5.885860919952392578e-01
6.000000000000000000e+00,8.167568000000000000e+07,5.842294692993164062e-01
7.000000000000000000e+00,8.614197300000000000e+07,5.869138240814208984e-01
8.000000000000000000e+00,9.060228500000000000e+07,5.991718769073486328e-01
9.000000000000000000e+00,9.505747700000000000e+07,6.012165546417236328e-01
1.000000000000000000e+01,9.950865300000000000e+07,5.917747020721435547e-01
1.100000000000000000e+01,1.039653010000000000e+08,5.925874710083007812e-01
1.200000000000000000e+01,1.084173730000000000e+08,5.879733562469482422e-01
1.300000000000000000e+01,1.128605810000000000e+08,6.027822494506835938e-01
1.400000000000000000e+01,1.172950530000000000e+08,5.977547168731689453e-01
1.500000000000000000e+01,1.217252750000000000e+08,6.067700386047363281e-01
1.600000000000000000e+01,1.261519260000000000e+08,5.970945358276367188e-01
1.700000000000000000e+01,1.305740900000000000e+08,6.047174930572509766e-01
1.800000000000000000e+01,1.349922260000000000e+08,6.146702766418457031e-01
1.900000000000000000e+01,1.394066330000000000e+08,6.153013706207275391e-01
2.000000000000000000e+01,1.438192810000000000e+08,6.048343181610107422e-01
2.100000000000000000e+01,1.482246580000000000e+08,6.165127754211425781e-01
2.200000000000000000e+01,1.526253540000000000e+08,6.197261810302734375e-01
2.300000000000000000e+01,1.570221630000000000e+08,6.073799133300781250e-01
2.400000000000000000e+01,1.614148800000000000e+08,6.158728599548339844e-01
2.500000000000000000e+01,1.658031310000000000e+08,6.211493015289306641e-01
2.600000000000000000e+01,1.701871710000000000e+08,6.228785514831542969e-01
2.700000000000000000e+01,1.745709320000000000e+08,6.104614734649658203e-01
2.800000000000000000e+01,1.789471210000000000e+08,6.233794689178466797e-01
2.900000000000000000e+01,1.833184730000000000e+08,6.180114746093750000e-01
3.000000000000000000e+01,1.876870570000000000e+08,6.360452175140380859e-01
3.100000000000000000e+01,1.920502250000000000e+08,6.200163364410400391e-01
3.200000000000000000e+01,1.964099240000000000e+08,6.250872611999511719e-01
