# n_samples,memory,time
2.000000000000000000e+00,6.514120500000000000e+07,3.073030138015747070e+01
3.000000000000000000e+00,7.365078900000000000e+07,6.551177501678466797e-01
4.000000000000000000e+00,7.795440800000000000e+07,6.398150920867919922e-01
5.000000000000000000e+00,8.223476300000000000e+07,6.427812576293945312e-01
6.000000000000000000e+00,8.642932400000000000e+07,6.321771144866943359e-01
7.000000000000000000e+00,9.060283100000000000e+07,6.406447887420654297e-01
8.000000000000000000e+00,9.476771000000000000e+07,6.357395648956298828e-01
9.000000000000000000e+00,9.893100700000000000e+07,6.419076919555664062e-01
1.000000000000000000e+01,1.030899710000000000e+08,6.411814689636230469e-01
1.100000000000000000e+01,1.072546280000000000e+08,6.511077880859375000e-01
1.200000000000000000e+01,1.114141650000000000e+08,6.386499404907226562e-01
1.300000000000000000e+01,1.155635450000000000e+08,6.462090015411376953e-01
1.400000000000000000e+01,1.197051890000000000e+08,6.475293636322021484e-01
1.500000000000000000e+01,1.238441300000000000e+08,6.544318199157714844e-01
1.600000000000000000e+01,1.279770620000000000e+08,6.525819301605224609e-01
1.700000000000000000e+01,1.321074890000000000e+08,6.606249809265136719e-01
1.800000000000000000e+01,1.362321400000000000e+08,6.607110500335693359e-01
1.900000000000000000e+01,1.403549720000000000e+08,6.562991142272949219e-01
2.000000000000000000e+01,1.444742780000000000e+08,6.534135341644287109e-01
2.100000000000000000e+01,1.485863630000000000e+08,6.612472534179687500e-01
2.200000000000000000e+01,1.526944780000000000e+08,6.546089649200439453e-01
2.300000000000000000e+01,1.567975020000000000e+08,6.535730361938476562e-01
2.400000000000000000e+01,1.608977090000000000e+08,6.600773334503173828e-01
2.500000000000000000e+01,1.649938520000000000e+08,6.650002002716064453e-01
2.600000000000000000e+01,1.690881300000000000e+08,6.720263957977294922e-01
2.700000000000000000e+01,1.731768640000000000e+08,6.653635501861572266e-01
2.800000000000000000e+01,1.772571640000000000e+08,6.783773899078369141e-01
2.900000000000000000e+01,1.813367530000000000e+08,6.701345443725585938e-01
3.000000000000000000e+01,1.854155310000000000e+08,6.656334400177001953e-01
3.100000000000000000e+01,1.894862710000000000e+08,6.857361793518066406e-01
3.200000000000000000e+01,1.935519830000000000e+08,6.793558597564697266e-01
3.300000000000000000e+01,1.976155790000000000e+08,6.694941520690917969e-01
3.400000000000000000e+01,2.016725820000000000e+08,6.861019134521484375e-01
3.500000000000000000e+01,2.057270410000000000e+08,6.771388053894042969e-01
3.600000000000000000e+01,2.097780090000000000e+08,6.908044815063476562e-01
3.700000000000000000e+01,2.138221660000000000e+08,6.796512603759765625e-01
3.800000000000000000e+01,2.178669060000000000e+08,6.836130619049072266e-01
3.900000000000000000e+01,2.219014010000000000e+08,6.807839870452880859e-01
4.000000000000000000e+01,2.259339770000000000e+08,6.816830635070800781e-01
