# n_samples,memory,time
2.000000000000000000e+00,5.937331100000000000e+07,2.223795127868652344e+01
3.000000000000000000e+00,6.802354600000000000e+07,5.968334674835205078e-01
4.000000000000000000e+00,7.265820200000000000e+07,5.839190483093261719e-01
5.000000000000000000e+00,7.718628800000000000e+07,5.830297470092773438e-01
6.000000000000000000e+00,8.165922400000000000e+07,5.965397357940673828e-01
7.000000000000000000e+00,8.612570100000000000e+07,5.816197395324707031e-01
8.000000000000000000e+00,9.058602900000000000e+07,5.994346141815185547e-01
9.000000000000000000e+00,9.504130100000000000e+07,5.919616222381591797e-01
1.000000000000000000e+01,9.949250900000000000e+07,5.850589275360107422e-01
1.100000000000000000e+01,1.039491890000000000e+08,5.971879959106445312e-01
1.200000000000000000e+01,1.084012450000000000e+08,5.905346870422363281e-01
1.300000000000000000e+01,1.128444850000000000e+08,5.859332084655761719e-01
1.400000000000000000e+01,1.172789250000000000e+08,5.896673202514648438e-01
1.500000000000000000e+01,1.217091470000000000e+08,5.909397602081298828e-01
1.600000000000000000e+01,1.261357660000000000e+08,6.005139350891113281e-01
1.700000000000000000e+01,1.305578980000000000e+08,6.075243949890136719e-01
1.800000000000000000e+01,1.349760340000000000e+08,6.137356758117675781e-01
1.900000000000000000e+01,1.393904410000000000e+08,6.106164455413818359e-01
2.000000000000000000e+01,1.438030890000000000e+08,6.094903945922851562e-01
2.100000000000000000e+01,1.482084660000000000e+08,6.140689849853515625e-01
2.200000000000000000e+01,1.526091620000000000e+08,6.051115989685058594e-01
2.300000000000000000e+01,1.570059390000000000e+08,6.140239238739013672e-01
2.400000000000000000e+01,1.613986560000000000e+08,6.270513534545898438e-01
2.500000000000000000e+01,1.657867760000000000e+08,6.113805770874023438e-01
2.600000000000000000e+01,1.701709470000000000e+08,6.051068305969238281e-01
2.700000000000000000e+01,1.745542350000000000e+08,6.115171909332275391e-01
2.800000000000000000e+01,1.789304240000000000e+08,6.193721294403076172e-01
2.900000000000000000e+01,1.833022490000000000e+08,6.339943408966064453e-01
3.000000000000000000e+01,1.876708010000000000e+08,6.308920383453369141e-01
3.100000000000000000e+01,1.920339690000000000e+08,6.281507015228271484e-01
3.200000000000000000e+01,1.963936680000000000e+08,6.340818405151367188e-01
3.300000000000000000e+01,2.007482520000000000e+08,6.253783702850341797e-01
3.400000000000000000e+01,2.050996870000000000e+08,6.325597763061523438e-01
3.500000000000000000e+01,2.094458870000000000e+08,6.215617656707763672e-01
3.600000000000000000e+01,2.137891270000000000e+08,6.227622032165527344e-01
3.700000000000000000e+01,2.181270570000000000e+08,6.329922676086425781e-01
3.800000000000000000e+01,2.224617110000000000e+08,6.288027763366699219e-01
3.900000000000000000e+01,2.267915440000000000e+08,6.265358924865722656e-01
4.000000000000000000e+01,2.311167840000000000e+08,6.432828903198242188e-01
4.100000000000000000e+01,2.354382400000000000e+08,6.349482536315917969e-01
4.200000000000000000e+01,2.397553520000000000e+08,6.345772743225097656e-01
4.300000000000000000e+01,2.440680160000000000e+08,6.330697536468505859e-01
4.400000000000000000e+01,2.483772060000000000e+08,6.433832645416259766e-01
4.500000000000000000e+01,2.526814860000000000e+08,6.415145397186279297e-01
4.600000000000000000e+01,2.569815740000000000e+08,6.417169570922851562e-01
4.700000000000000000e+01,2.612779260000000000e+08,6.460053920745849609e-01
4.800000000000000000e+01,2.655700020000000000e+08,6.514849662780761719e-01
4.900000000000000000e+01,2.698579060000000000e+08,6.383359432220458984e-01
5.000000000000000000e+01,2.741412260000000000e+08,6.473536491394042969e-01
