# n_samples,memory,time
2.000000000000000000e+00,5.931826700000000000e+07,2.209382510185241699e+01
3.000000000000000000e+00,6.802288600000000000e+07,5.986282825469970703e-01
4.000000000000000000e+00,7.265831000000000000e+07,5.821499824523925781e-01
5.000000000000000000e+00,7.718650400000000000e+07,5.906369686126708984e-01
6.000000000000000000e+00,8.165944000000000000e+07,5.925412178039550781e-01
7.000000000000000000e+00,8.612591700000000000e+07,5.857603549957275391e-01
8.000000000000000000e+00,9.058624500000000000e+07,5.987880229949951172e-01
9.000000000000000000e+00,9.504148500000000000e+07,5.853083133697509766e-01
1.000000000000000000e+01,9.949269300000000000e+07,5.871968269348144531e-01
1.100000000000000000e+01,1.039493410000000000e+08,5.923655033111572266e-01
1.200000000000000000e+01,1.084013970000000000e+08,6.003258228302001953e-01
1.300000000000000000e+01,1.128446050000000000e+08,5.972864627838134766e-01
1.400000000000000000e+01,1.172790450000000000e+08,6.054518222808837891e-01
1.500000000000000000e+01,1.217092670000000000e+08,6.156151294708251953e-01
1.600000000000000000e+01,1.261359180000000000e+08,5.992894172668457031e-01
1.700000000000000000e+01,1.305580500000000000e+08,6.118106842041015625e-01
1.800000000000000000e+01,1.349761860000000000e+08,6.151347160339355469e-01
1.900000000000000000e+01,1.393905930000000000e+08,6.094956398010253906e-01
2.000000000000000000e+01,1.438032410000000000e+08,6.114444732666015625e-01
2.100000000000000000e+01,1.482086180000000000e+08,6.136322021484375000e-01
2.200000000000000000e+01,1.526093140000000000e+08,6.114785671234130859e-01
2.300000000000000000e+01,1.570060910000000000e+08,6.211407184600830078e-01
2.400000000000000000e+01,1.613988080000000000e+08,6.242048740386962891e-01
2.500000000000000000e+01,1.657869280000000000e+08,6.234209537506103516e-01
2.600000000000000000e+01,1.701710990000000000e+08,6.184911727905273438e-01
2.700000000000000000e+01,1.745543870000000000e+08,6.256744861602783203e-01
2.800000000000000000e+01,1.789306080000000000e+08,6.114189624786376953e-01
2.900000000000000000e+01,1.833024330000000000e+08,6.291491985321044922e-01
3.000000000000000000e+01,1.876709850000000000e+08,6.240930557250976562e-01
3.100000000000000000e+01,1.920341530000000000e+08,6.279885768890380859e-01
3.200000000000000000e+01,1.963938520000000000e+08,6.309061050415039062e-01
3.300000000000000000e+01,2.007484360000000000e+08,6.191742420196533203e-01
3.400000000000000000e+01,2.050998710000000000e+08,6.250216960906982422e-01
3.500000000000000000e+01,2.094460710000000000e+08,6.340053081512451172e-01
3.600000000000000000e+01,2.137893110000000000e+08,6.355888843536376953e-01
3.700000000000000000e+01,2.181272040000000000e+08,6.289057731628417969e-01
3.800000000000000000e+01,2.224618950000000000e+08,6.257369518280029297e-01
3.900000000000000000e+01,2.267917280000000000e+08,6.468644142150878906e-01
4.000000000000000000e+01,2.311169680000000000e+08,6.354703903198242188e-01
4.100000000000000000e+01,2.354384240000000000e+08,6.478281021118164062e-01
4.200000000000000000e+01,2.397555360000000000e+08,6.491565704345703125e-01
4.300000000000000000e+01,2.440682000000000000e+08,6.377460956573486328e-01
4.400000000000000000e+01,2.483771450000000000e+08,6.415464878082275391e-01
4.500000000000000000e+01,2.526814250000000000e+08,6.496887207031250000e-01
4.600000000000000000e+01,2.569815130000000000e+08,6.389160156250000000e-01
4.700000000000000000e+01,2.612778650000000000e+08,6.541695594787597656e-01
4.800000000000000000e+01,2.655699410000000000e+08,6.482586860656738281e-01
4.900000000000000000e+01,2.698578450000000000e+08,6.569743156433105469e-01
5.000000000000000000e+01,2.741411650000000000e+08,6.471121311187744141e-01
5.100000000000000000e+01,2.784203870000000000e+08,6.439297199249267578e-01
5.200000000000000000e+01,2.826953230000000000e+08,6.427829265594482422e-01
5.300000000000000000e+01,2.869678440000000000e+08,6.467471122741699219e-01
5.400000000000000000e+01,2.912351960000000000e+08,6.599724292755126953e-01
5.500000000000000000e+01,2.954978760000000000e+08,6.522035598754882812e-01
5.600000000000000000e+01,2.997563930000000000e+08,6.639623641967773438e-01
5.700000000000000000e+01,3.040105220000000000e+08,6.620159149169921875e-01
5.800000000000000000e+01,3.082697950000000000e+08,6.599962711334228516e-01
5.900000000000000000e+01,3.125165740000000000e+08,6.513068675994873047e-01
6.000000000000000000e+01,3.167585500000000000e+08,6.629054546356201172e-01
6.100000000000000000e+01,3.209965250000000000e+08,6.554403305053710938e-01
6.200000000000000000e+01,3.252304550000000000e+08,6.492106914520263672e-01
6.300000000000000000e+01,3.294599880000000000e+08,6.470777988433837891e-01
6.400000000000000000e+01,3.336850340000000000e+08,6.525051593780517578e-01
6.500000000000000000e+01,3.379057620000000000e+08,6.534020900726318359e-01
6.600000000000000000e+01,3.421222980000000000e+08,6.525740623474121094e-01
6.700000000000000000e+01,3.463358310000000000e+08,6.442065238952636719e-01
6.800000000000000000e+01,3.505455930000000000e+08,6.645555496215820312e-01
6.900000000000000000e+01,3.547495530000000000e+08,6.453626155853271484e-01
7.000000000000000000e+01,3.589507610000000000e+08,6.535861492156982422e-01
7.100000000000000000e+01,3.631463370000000000e+08,6.476085186004638672e-01
7.200000000000000000e+01,3.673389280000000000e+08,6.572103500366210938e-01
7.300000000000000000e+01,3.715265760000000000e+08,6.462574005126953125e-01
7.400000000000000000e+01,3.757097820000000000e+08,6.583461761474609375e-01
7.500000000000000000e+01,3.798889740000000000e+08,6.607797145843505859e-01
7.600000000000000000e+01,3.840637180000000000e+08,6.582262516021728516e-01
7.700000000000000000e+01,3.882414510000000000e+08,6.484620571136474609e-01
7.800000000000000000e+01,3.924076830000000000e+08,6.717531681060791016e-01
7.900000000000000000e+01,3.965702350000000000e+08,6.680803298950195312e-01
8.000000000000000000e+01,4.007281580000000000e+08,6.668641567230224609e-01
8.100000000000000000e+01,4.048814220000000000e+08,6.651217937469482422e-01
8.200000000000000000e+01,4.090304940000000000e+08,6.635220050811767578e-01
8.300000000000000000e+01,4.131754480000000000e+08,6.607370376586914062e-01
8.400000000000000000e+01,4.173162270000000000e+08,6.773796081542968750e-01
8.500000000000000000e+01,4.214527230000000000e+08,6.624770164489746094e-01
8.600000000000000000e+01,4.255851480000000000e+08,6.608104705810546875e-01
8.700000000000000000e+01,4.297193970000000000e+08,6.644284725189208984e-01
8.800000000000000000e+01,4.338433170000000000e+08,6.703286170959472656e-01
8.900000000000000000e+01,4.379632640000000000e+08,6.736555099487304688e-01
9.000000000000000000e+01,4.420790250000000000e+08,6.814653873443603516e-01
9.100000000000000000e+01,4.461908010000000000e+08,6.819758415222167969e-01
9.200000000000000000e+01,4.502991380000000000e+08,6.712834835052490234e-01
9.300000000000000000e+01,4.544020980000000000e+08,6.817579269409179688e-01
9.400000000000000000e+01,4.585008660000000000e+08,6.842703819274902344e-01
9.500000000000000000e+01,4.625963930000000000e+08,6.980402469635009766e-01
9.600000000000000000e+01,4.666867770000000000e+08,6.690242290496826172e-01
9.700000000000000000e+01,4.707730350000000000e+08,6.630864143371582031e-01
9.800000000000000000e+01,4.748550350000000000e+08,6.747190952301025391e-01
9.900000000000000000e+01,4.789343570000000000e+08,6.667766571044921875e-01
1.000000000000000000e+02,4.830079730000000000e+08,6.655528545379638672e-01
1.010000000000000000e+02,4.870805300000000000e+08,6.606664657592773438e-01
1.020000000000000000e+02,4.911462800000000000e+08,6.740398406982421875e-01
