# n_samples,memory,time
2.000000000000000000e+00,5.938390700000000000e+07,2.210652875900268555e+01
3.000000000000000000e+00,6.808733000000000000e+07,6.071169376373291016e-01
4.000000000000000000e+00,7.268496700000000000e+07,5.927348136901855469e-01
5.000000000000000000e+00,7.720374900000000000e+07,5.946667194366455078e-01
6.000000000000000000e+00,8.167668500000000000e+07,5.902135372161865234e-01
7.000000000000000000e+00,8.614297800000000000e+07,5.958666801452636719e-01
8.000000000000000000e+00,9.060329000000000000e+07,5.836246013641357422e-01
9.000000000000000000e+00,9.505848200000000000e+07,5.880942344665527344e-01
1.000000000000000000e+01,9.950969000000000000e+07,5.947098731994628906e-01
1.100000000000000000e+01,1.039663380000000000e+08,5.938305854797363281e-01
1.200000000000000000e+01,1.084183620000000000e+08,5.984919071197509766e-01
1.300000000000000000e+01,1.128616020000000000e+08,5.974087715148925781e-01
1.400000000000000000e+01,1.172960420000000000e+08,5.965495109558105469e-01
1.500000000000000000e+01,1.217262640000000000e+08,5.975632667541503906e-01
1.600000000000000000e+01,1.261528830000000000e+08,6.044716835021972656e-01
1.700000000000000000e+01,1.305750470000000000e+08,6.174428462982177734e-01
1.800000000000000000e+01,1.349931830000000000e+08,6.120505332946777344e-01
1.900000000000000000e+01,1.394076220000000000e+08,6.063294410705566406e-01
2.000000000000000000e+01,1.438202700000000000e+08,6.163785457611083984e-01
2.100000000000000000e+01,1.482256470000000000e+08,6.151795387268066406e-01
2.200000000000000000e+01,1.526263430000000000e+08,6.090967655181884766e-01
2.300000000000000000e+01,1.570231200000000000e+08,6.085863113403320312e-01
2.400000000000000000e+01,1.614158370000000000e+08,6.095526218414306641e-01
2.500000000000000000e+01,1.658039570000000000e+08,6.271758079528808594e-01
2.600000000000000000e+01,1.701881280000000000e+08,6.240267753601074219e-01
2.700000000000000000e+01,1.745714160000000000e+08,6.109538078308105469e-01
2.800000000000000000e+01,1.789476050000000000e+08,6.196632385253906250e-01
2.900000000000000000e+01,1.833194300000000000e+08,6.171307563781738281e-01
3.000000000000000000e+01,1.876879820000000000e+08,6.247007846832275391e-01
3.100000000000000000e+01,1.920511500000000000e+08,6.314802169799804688e-01
3.200000000000000000e+01,1.964108490000000000e+08,6.260387897491455078e-01
3.300000000000000000e+01,2.007654330000000000e+08,6.255123615264892578e-01
3.400000000000000000e+01,2.051169000000000000e+08,6.308529376983642578e-01
3.500000000000000000e+01,2.094631000000000000e+08,6.350038051605224609e-01
3.600000000000000000e+01,2.138063400000000000e+08,6.334364414215087891e-01
3.700000000000000000e+01,2.181442700000000000e+08,6.362998485565185547e-01
3.800000000000000000e+01,2.224789240000000000e+08,6.309967041015625000e-01
3.900000000000000000e+01,2.268087570000000000e+08,6.367809772491455078e-01
4.000000000000000000e+01,2.311339970000000000e+08,6.331965923309326172e-01
4.100000000000000000e+01,2.354554530000000000e+08,6.400289535522460938e-01
4.200000000000000000e+01,2.397725650000000000e+08,6.438925266265869141e-01
4.300000000000000000e+01,2.440852290000000000e+08,6.485602855682373047e-01
4.400000000000000000e+01,2.483944190000000000e+08,6.318292617797851562e-01
4.500000000000000000e+01,2.526986990000000000e+08,6.359403133392333984e-01
4.600000000000000000e+01,2.569987870000000000e+08,6.341261863708496094e-01
4.700000000000000000e+01,2.612951390000000000e+08,6.399853229522705078e-01
4.800000000000000000e+01,2.655872150000000000e+08,6.466636657714843750e-01
4.900000000000000000e+01,2.698751190000000000e+08,6.494939327239990234e-01
5.000000000000000000e+01,2.741584390000000000e+08,6.556458473205566406e-01
5.100000000000000000e+01,2.784376610000000000e+08,6.467161178588867188e-01
5.200000000000000000e+01,2.827125970000000000e+08,6.395800113677978516e-01
5.300000000000000000e+01,2.869851180000000000e+08,6.424906253814697266e-01
5.400000000000000000e+01,2.912524700000000000e+08,6.479876041412353516e-01
5.500000000000000000e+01,2.955151500000000000e+08,6.432652473449707031e-01
5.600000000000000000e+01,2.997736670000000000e+08,6.560730934143066406e-01
5.700000000000000000e+01,3.040277960000000000e+08,6.561558246612548828e-01
5.800000000000000000e+01,3.082870690000000000e+08,6.594700813293457031e-01
5.900000000000000000e+01,3.125336030000000000e+08,6.573007106781005859e-01
6.000000000000000000e+01,3.167755790000000000e+08,6.591894626617431641e-01
6.100000000000000000e+01,3.210135540000000000e+08,6.470363140106201172e-01
6.200000000000000000e+01,3.252474840000000000e+08,6.429014205932617188e-01
6.300000000000000000e+01,3.294770170000000000e+08,6.390290260314941406e-01
6.400000000000000000e+01,3.337020630000000000e+08,6.433627605438232422e-01
6.500000000000000000e+01,3.379227910000000000e+08,6.445336341857910156e-01
6.600000000000000000e+01,3.421393270000000000e+08,6.609644889831542969e-01
6.700000000000000000e+01,3.463528600000000000e+08,6.526470184326171875e-01
6.800000000000000000e+01,3.505626220000000000e+08,6.488287448883056641e-01
6.900000000000000000e+01,3.547665820000000000e+08,6.563060283660888672e-01
7.000000000000000000e+01,3.589677900000000000e+08,6.585550308227539062e-01
7.100000000000000000e+01,3.631633660000000000e+08,6.456682682037353516e-01
7.200000000000000000e+01,3.673559570000000000e+08,6.467995643615722656e-01
7.300000000000000000e+01,3.715436050000000000e+08,6.583943367004394531e-01
7.400000000000000000e+01,3.757268110000000000e+08,6.564981937408447266e-01
7.500000000000000000e+01,3.799060030000000000e+08,6.448793411254882812e-01
7.600000000000000000e+01,3.840807470000000000e+08,6.625990867614746094e-01
7.700000000000000000e+01,3.882584800000000000e+08,6.512458324432373047e-01
7.800000000000000000e+01,3.924247120000000000e+08,6.565513610839843750e-01
7.900000000000000000e+01,3.965872640000000000e+08,6.503031253814697266e-01
8.000000000000000000e+01,4.007451870000000000e+08,6.580879688262939453e-01
8.100000000000000000e+01,4.048984510000000000e+08,6.668670177459716797e-01
8.200000000000000000e+01,4.090475230000000000e+08,6.664743423461914062e-01
8.300000000000000000e+01,4.131924770000000000e+08,6.746716499328613281e-01
8.400000000000000000e+01,4.173332560000000000e+08,6.662840843200683594e-01
8.500000000000000000e+01,4.214697520000000000e+08,6.568262577056884766e-01
8.600000000000000000e+01,4.256021770000000000e+08,6.739037036895751953e-01
8.700000000000000000e+01,4.297364260000000000e+08,6.644930839538574219e-01
8.800000000000000000e+01,4.338603460000000000e+08,6.734027862548828125e-01
8.900000000000000000e+01,4.379802930000000000e+08,6.736958026885986328e-01
9.000000000000000000e+01,4.420960540000000000e+08,6.696765422821044922e-01
9.100000000000000000e+01,4.462078300000000000e+08,6.721720695495605469e-01
9.200000000000000000e+01,4.503161670000000000e+08,6.613087654113769531e-01
9.300000000000000000e+01,4.544191270000000000e+08,6.696400642395019531e-01
9.400000000000000000e+01,4.585178950000000000e+08,6.709809303283691406e-01
9.500000000000000000e+01,4.626134220000000000e+08,6.996049880981445312e-01
9.600000000000000000e+01,4.667038060000000000e+08,6.612336635589599609e-01
9.700000000000000000e+01,4.707900640000000000e+08,6.624782085418701172e-01
9.800000000000000000e+01,4.748720640000000000e+08,6.632218360900878906e-01
9.900000000000000000e+01,4.789513860000000000e+08,6.624486446380615234e-01
1.000000000000000000e+02,4.830250020000000000e+08,6.684949398040771484e-01
1.010000000000000000e+02,4.870975590000000000e+08,6.710274219512939453e-01
1.020000000000000000e+02,4.911633090000000000e+08,6.699125766754150391e-01
1.030000000000000000e+02,4.952243950000000000e+08,6.719980239868164062e-01
1.040000000000000000e+02,4.992821050000000000e+08,6.794383525848388672e-01
1.050000000000000000e+02,5.033347610000000000e+08,6.610190868377685547e-01
1.060000000000000000e+02,5.073832250000000000e+08,6.699032783508300781e-01
1.070000000000000000e+02,5.114275630000000000e+08,6.805453300476074219e-01
1.080000000000000000e+02,5.154676430000000000e+08,6.813216209411621094e-01
1.090000000000000000e+02,5.195040560000000000e+08,6.713390350341796875e-01
1.100000000000000000e+02,5.235359120000000000e+08,6.821887493133544922e-01
1.110000000000000000e+02,5.275634540000000000e+08,6.797132492065429688e-01
1.120000000000000000e+02,5.315878060000000000e+08,6.681876182556152344e-01
1.130000000000000000e+02,5.356080440000000000e+08,6.770045757293701172e-01
1.140000000000000000e+02,5.396248930000000000e+08,6.797938346862792969e-01
1.150000000000000000e+02,5.436353930000000000e+08,6.788973808288574219e-01
1.160000000000000000e+02,5.476425630000000000e+08,6.819729804992675781e-01
1.170000000000000000e+02,5.516437250000000000e+08,6.817023754119873047e-01
1.180000000000000000e+02,5.556406610000000000e+08,6.914553642272949219e-01
1.190000000000000000e+02,5.596334050000000000e+08,6.787586212158203125e-01
1.200000000000000000e+02,5.636230500000000000e+08,6.790850162506103516e-01
1.210000000000000000e+02,5.676074100000000000e+08,6.873745918273925781e-01
1.220000000000000000e+02,5.715875780000000000e+08,6.906886100769042969e-01
1.230000000000000000e+02,5.755647660000000000e+08,6.918346881866455078e-01
1.240000000000000000e+02,5.795366330000000000e+08,7.081279754638671875e-01
1.250000000000000000e+02,5.835061690000000000e+08,6.869955062866210938e-01
1.260000000000000000e+02,5.874708000000000000e+08,6.975407600402832031e-01
1.270000000000000000e+02,5.914304690000000000e+08,6.829702854156494141e-01
1.280000000000000000e+02,5.953854850000000000e+08,6.836373805999755859e-01
1.290000000000000000e+02,5.993386110000000000e+08,7.016408443450927734e-01
1.300000000000000000e+02,6.032860670000000000e+08,7.055618762969970703e-01
1.310000000000000000e+02,6.072291470000000000e+08,7.060556411743164062e-01
1.320000000000000000e+02,6.111680350000000000e+08,7.064907550811767578e-01
1.330000000000000000e+02,6.151027310000000000e+08,7.026495933532714844e-01
1.340000000000000000e+02,6.190332350000000000e+08,7.033879756927490234e-01
1.350000000000000000e+02,6.229594350000000000e+08,6.906189918518066406e-01
1.360000000000000000e+02,6.268820890000000000e+08,7.141687870025634766e-01
1.370000000000000000e+02,6.308012890000000000e+08,6.930735111236572266e-01
1.380000000000000000e+02,6.347159530000000000e+08,7.147481441497802734e-01
1.390000000000000000e+02,6.386253850000000000e+08,6.995213031768798828e-01
1.400000000000000000e+02,6.425306250000000000e+08,7.147185802459716797e-01
1.410000000000000000e+02,6.464316730000000000e+08,7.010059356689453125e-01
1.420000000000000000e+02,6.503285290000000000e+08,7.162768840789794922e-01
1.430000000000000000e+02,6.542225130000000000e+08,7.034664154052734375e-01
1.440000000000000000e+02,6.581109850000000000e+08,7.151494026184082031e-01
1.450000000000000000e+02,6.619952650000000000e+08,7.066781520843505859e-01
1.460000000000000000e+02,6.658753530000000000e+08,7.156548500061035156e-01
1.470000000000000000e+02,6.697512490000000000e+08,7.150368690490722656e-01
1.480000000000000000e+02,6.736232550000000000e+08,7.171049118041992188e-01
1.490000000000000000e+02,6.774907670000000000e+08,7.106995582580566406e-01
1.500000000000000000e+02,6.813540870000000000e+08,7.136452198028564453e-01
1.510000000000000000e+02,6.852138150000000000e+08,7.190697193145751953e-01
1.520000000000000000e+02,6.890687510000000000e+08,7.302138805389404297e-01
1.530000000000000000e+02,6.929208790000000000e+08,7.131345272064208984e-01
1.540000000000000000e+02,6.967674310000000000e+08,7.168352603912353516e-01
1.550000000000000000e+02,7.006097910000000000e+08,7.248516082763671875e-01
1.560000000000000000e+02,7.044479590000000000e+08,7.299690246582031250e-01
1.570000000000000000e+02,7.082819350000000000e+08,7.247114181518554688e-01
1.580000000000000000e+02,7.121117190000000000e+08,7.239017486572265625e-01
1.590000000000000000e+02,7.159373110000000000e+08,7.155325412750244141e-01
1.600000000000000000e+02,7.197596180000000000e+08,7.167835235595703125e-01
1.610000000000000000e+02,7.235783140000000000e+08,7.284421920776367188e-01
1.620000000000000000e+02,7.273913300000000000e+08,7.257716655731201172e-01
1.630000000000000000e+02,7.312001540000000000e+08,7.187826633453369141e-01
1.640000000000000000e+02,7.350047860000000000e+08,7.237694263458251953e-01
1.650000000000000000e+02,7.388052260000000000e+08,7.365105152130126953e-01
1.660000000000000000e+02,7.422612900000000000e+08,8.903605937957763672e-01
1.670000000000000000e+02,7.461966260000000000e+08,7.315461635589599609e-01
