# n_samples,memory,time
2.000000000000000000e+00,6.514217100000000000e+07,3.076285409927368164e+01
3.000000000000000000e+00,7.361990300000000000e+07,6.880891323089599609e-01
4.000000000000000000e+00,7.793223100000000000e+07,6.613121032714843750e-01
5.000000000000000000e+00,8.222441300000000000e+07,6.728208065032958984e-01
6.000000000000000000e+00,8.640582400000000000e+07,6.637668609619140625e-01
7.000000000000000000e+00,9.057889000000000000e+07,6.686303615570068359e-01
8.000000000000000000e+00,9.474752000000000000e+07,6.681864261627197266e-01
9.000000000000000000e+00,9.891123800000000000e+07,6.780307292938232422e-01
1.000000000000000000e+01,1.030688220000000000e+08,6.709730625152587891e-01
1.100000000000000000e+01,1.072345850000000000e+08,6.823101043701171875e-01
1.200000000000000000e+01,1.113929670000000000e+08,6.741511821746826172e-01
1.300000000000000000e+01,1.155432590000000000e+08,6.765275001525878906e-01
1.400000000000000000e+01,1.196846060000000000e+08,6.671669483184814453e-01
1.500000000000000000e+01,1.238234400000000000e+08,6.801435947418212891e-01
1.600000000000000000e+01,1.279587200000000000e+08,6.832306385040283203e-01
1.700000000000000000e+01,1.320877510000000000e+08,6.777179241180419922e-01
1.800000000000000000e+01,1.362122990000000000e+08,6.900432109832763672e-01
1.900000000000000000e+01,1.403354190000000000e+08,6.788842678070068359e-01
2.000000000000000000e+01,1.444552670000000000e+08,6.735212802886962891e-01
2.100000000000000000e+01,1.485685600000000000e+08,6.890172958374023438e-01
2.200000000000000000e+01,1.526766800000000000e+08,6.836094856262207031e-01
2.300000000000000000e+01,1.567812600000000000e+08,6.847891807556152344e-01
2.400000000000000000e+01,1.608810140000000000e+08,6.964111328125000000e-01
2.500000000000000000e+01,1.649757410000000000e+08,6.843097209930419922e-01
2.600000000000000000e+01,1.690713660000000000e+08,6.876499652862548828e-01
2.700000000000000000e+01,1.731602790000000000e+08,6.864457130432128906e-01
2.800000000000000000e+01,1.772429330000000000e+08,7.054710388183593750e-01
2.900000000000000000e+01,1.813216760000000000e+08,6.849846839904785156e-01
3.000000000000000000e+01,1.854005100000000000e+08,6.945385932922363281e-01
3.100000000000000000e+01,1.894708990000000000e+08,7.011399269104003906e-01
3.200000000000000000e+01,1.935378280000000000e+08,7.051460742950439453e-01
3.300000000000000000e+01,1.976026380000000000e+08,7.052488327026367188e-01
3.400000000000000000e+01,2.016591890000000000e+08,7.062625885009765625e-01
3.500000000000000000e+01,2.057129240000000000e+08,6.970715522766113281e-01
3.600000000000000000e+01,2.097644270000000000e+08,6.968064308166503906e-01
3.700000000000000000e+01,2.138099490000000000e+08,7.159364223480224609e-01
3.800000000000000000e+01,2.178518590000000000e+08,7.100927829742431641e-01
3.900000000000000000e+01,2.218897580000000000e+08,7.103502750396728516e-01
4.000000000000000000e+01,2.259224980000000000e+08,7.098021507263183594e-01
4.100000000000000000e+01,2.299523780000000000e+08,7.139980792999267578e-01
4.200000000000000000e+01,2.339747040000000000e+08,7.036180496215820312e-01
4.300000000000000000e+01,2.379990280000000000e+08,7.157154083251953125e-01
4.400000000000000000e+01,2.420158790000000000e+08,7.171738147735595703e-01
4.500000000000000000e+01,2.460287280000000000e+08,7.265768051147460938e-01
4.600000000000000000e+01,2.500365470000000000e+08,7.223103046417236328e-01
4.700000000000000000e+01,2.540394190000000000e+08,7.150115966796875000e-01
4.800000000000000000e+01,2.580406200000000000e+08,7.158672809600830078e-01
4.900000000000000000e+01,2.620363340000000000e+08,7.144670486450195312e-01
5.000000000000000000e+01,2.660264220000000000e+08,7.209584712982177734e-01
5.100000000000000000e+01,2.700122900000000000e+08,7.357764244079589844e-01
5.200000000000000000e+01,2.739967140000000000e+08,7.284123897552490234e-01
5.300000000000000000e+01,2.779781180000000000e+08,7.280459403991699219e-01
