# n_samples,memory,time
2.000000000000000000e+00,6.951589800000000000e+07,3.030395197868347168e+01
3.000000000000000000e+00,8.238741200000000000e+07,6.870555877685546875e-01
4.000000000000000000e+00,8.885209800000000000e+07,6.819789409637451172e-01
5.000000000000000000e+00,9.522536900000000000e+07,6.743018627166748047e-01
6.000000000000000000e+00,1.015801620000000000e+08,6.698834896087646484e-01
7.000000000000000000e+00,1.079184240000000000e+08,6.667675971984863281e-01
8.000000000000000000e+00,1.142516990000000000e+08,6.652119159698486328e-01
9.000000000000000000e+00,1.205799940000000000e+08,6.835308074951171875e-01
1.000000000000000000e+01,1.269032110000000000e+08,6.848299503326416016e-01
1.100000000000000000e+01,1.332317780000000000e+08,6.905839443206787109e-01
1.200000000000000000e+01,1.395569930000000000e+08,6.809182167053222656e-01
1.300000000000000000e+01,1.458711360000000000e+08,6.896188259124755859e-01
1.400000000000000000e+01,1.521777200000000000e+08,6.870453357696533203e-01
1.500000000000000000e+01,1.584860520000000000e+08,6.929841041564941406e-01
1.600000000000000000e+01,1.647869490000000000e+08,6.831009387969970703e-01
1.700000000000000000e+01,1.710793290000000000e+08,6.929290294647216797e-01
1.800000000000000000e+01,1.773707030000000000e+08,7.041807174682617188e-01
1.900000000000000000e+01,1.836563980000000000e+08,6.975746154785156250e-01
2.000000000000000000e+01,1.899377510000000000e+08,6.991145610809326172e-01
2.100000000000000000e+01,1.962206710000000000e+08,7.016832828521728516e-01
2.200000000000000000e+01,2.024933830000000000e+08,7.045681476593017578e-01
2.300000000000000000e+01,2.087625910000000000e+08,6.985206604003906250e-01
2.400000000000000000e+01,2.150271530000000000e+08,6.967382431030273438e-01
2.500000000000000000e+01,2.212887560000000000e+08,6.960949897766113281e-01
2.600000000000000000e+01,2.275488430000000000e+08,6.980941295623779297e-01
2.700000000000000000e+01,2.338000190000000000e+08,6.997349262237548828e-01
2.800000000000000000e+01,2.400465880000000000e+08,7.144999504089355469e-01
2.900000000000000000e+01,2.462919980000000000e+08,7.114226818084716797e-01
3.000000000000000000e+01,2.525300980000000000e+08,7.135074138641357422e-01
3.100000000000000000e+01,2.587674800000000000e+08,7.283267974853515625e-01
3.200000000000000000e+01,2.649972940000000000e+08,7.187516689300537109e-01
3.300000000000000000e+01,2.712318510000000000e+08,7.155957221984863281e-01
3.400000000000000000e+01,2.774516250000000000e+08,7.202932834625244141e-01
3.500000000000000000e+01,2.836714750000000000e+08,7.225327491760253906e-01
3.600000000000000000e+01,2.898856570000000000e+08,7.303104400634765625e-01
3.700000000000000000e+01,2.960963400000000000e+08,7.203855514526367188e-01
3.800000000000000000e+01,3.023057870000000000e+08,7.348854541778564453e-01
3.900000000000000000e+01,3.085084580000000000e+08,7.219347953796386719e-01
4.000000000000000000e+01,3.147069480000000000e+08,7.267019748687744141e-01
4.100000000000000000e+01,3.209145950000000000e+08,7.298884391784667969e-01
4.200000000000000000e+01,3.271034650000000000e+08,7.322995662689208984e-01
4.300000000000000000e+01,3.332918290000000000e+08,7.335762977600097656e-01
4.400000000000000000e+01,3.394714900000000000e+08,7.411575317382812500e-01
